GENDER,AGE,EDUCATION,JOBROLE,DEPARTMENT,DISTANCEFROMHOME (KM),ATTRITION,BUSINESSTRAVEL,MONTHLYRATE,PERFORMANCERATING,TOTALWORKINGYEARS,YEARSATCOMPANY,YEARSINCURRENTROLE,YEARSSINCELASTPROMOTION,YEARSWITHCURRMANAGER
Female,41,2,Sales Executive,Sales,1,1,Rarely,19479,3,8,6,4,0,5
Male,49,1,Research Scientist,Research & Development,8,0,Frequently,24907,4,10,10,7,1,7
Male,37,2,Laboratory Technician,Research & Development,2,1,Rarely,2396,3,7,0,0,0,0
Female,33,4,Research Scientist,Research & Development,3,0,Frequently,23159,3,8,8,7,3,0
Male,27,1,Laboratory Technician,Research & Development,2,0,Rarely,16632,3,6,2,2,2,2
Male,32,2,Laboratory Technician,Research & Development,2,0,Frequently,11864,3,8,7,7,3,6
Female,59,3,Laboratory Technician,Research & Development,3,0,Rarely,9964,4,12,1,0,0,0
Male,30,1,Laboratory Technician,Research & Development,24,0,Rarely,13335,4,1,1,0,0,0
Male,38,3,Manufacturing Director,Research & Development,23,0,Frequently,8787,4,10,9,7,1,8
Male,36,3,Healthcare Representative,Research & Development,27,0,Rarely,16577,3,17,7,7,7,7
Male,35,3,Laboratory Technician,Research & Development,16,0,Rarely,16479,3,6,5,4,0,3
Female,29,2,Laboratory Technician,Research & Development,15,0,Rarely,12682,3,10,9,5,0,8
Male,31,1,Research Scientist,Research & Development,26,0,Rarely,15170,3,5,5,2,4,3
Male,34,2,Laboratory Technician,Research & Development,19,0,Rarely,8758,3,3,2,2,1,2
Male,28,3,Laboratory Technician,Research & Development,24,1,Rarely,12947,3,6,4,2,0,3
Female,29,4,Manufacturing Director,Research & Development,21,0,Rarely,10195,3,10,10,9,8,8
Male,32,2,Research Scientist,Research & Development,5,0,Rarely,15053,3,7,6,2,0,5
Male,22,2,Laboratory Technician,Research & Development,16,0,Non-Travel,7324,3,1,1,0,0,0
Female,53,4,Manager,Sales,2,0,Rarely,22021,3,31,25,8,3,7
Male,38,3,Research Scientist,Research & Development,2,0,Rarely,4306,3,6,3,2,1,2
Female,24,2,Manufacturing Director,Research & Development,11,0,Non-Travel,8232,3,5,4,2,1,3
Male,36,4,Sales Representative,Sales,9,1,Rarely,6986,4,10,5,3,0,3
Female,34,4,Research Director,Research & Development,7,0,Rarely,21293,3,13,12,6,2,11
Male,21,2,Research Scientist,Research & Development,15,0,Rarely,19281,3,0,0,0,0,0
Male,34,1,Research Scientist,Research & Development,6,1,Rarely,17102,3,8,4,2,1,3
Female,53,3,Manager,Research & Development,5,0,Rarely,10735,3,26,14,13,4,8
Female,32,1,Research Scientist,Research & Development,16,1,Frequently,4681,4,10,10,2,6,7
Male,42,4,Sales Executive,Sales,8,0,Rarely,21173,3,10,9,7,4,2
Female,44,4,Healthcare Representative,Research & Development,7,0,Rarely,2094,3,24,22,6,5,17
Female,46,4,Manager,Sales,2,0,Rarely,22822,3,22,2,2,2,1
Male,33,3,Laboratory Technician,Research & Development,2,0,Rarely,6670,3,7,1,1,0,0
Male,44,4,Healthcare Representative,Research & Development,10,0,Rarely,19121,3,9,4,2,1,3
Male,30,2,Laboratory Technician,Research & Development,9,0,Rarely,16117,3,10,10,0,1,8
Male,39,3,Sales Representative,Sales,5,1,Rarely,3335,3,19,1,0,0,0
Male,24,3,Research Scientist,Research & Development,1,1,Rarely,3020,3,6,2,0,2,0
Female,43,2,Research Scientist,Research & Development,2,0,Rarely,21923,3,6,5,3,1,4
Male,50,2,Sales Representative,Sales,3,1,Rarely,3810,3,3,3,2,0,2
Female,35,3,Sales Representative,Sales,2,0,Rarely,9687,3,2,2,2,2,2
Female,36,4,Research Scientist,Research & Development,5,0,Rarely,13072,3,6,1,1,0,0
Female,33,3,Sales Executive,Sales,1,0,Frequently,3193,3,10,5,3,1,3
Male,35,2,Laboratory Technician,Research & Development,4,0,Rarely,10910,3,1,1,0,0,0
Female,27,4,Laboratory Technician,Research & Development,2,0,Rarely,19715,3,1,1,0,0,0
Male,26,3,Laboratory Technician,Research & Development,25,1,Rarely,10558,3,1,1,0,0,1
Male,27,3,Sales Executive,Sales,8,0,Frequently,2975,3,9,9,8,1,7
Female,30,2,Laboratory Technician,Research & Development,1,0,Frequently,10781,4,12,12,8,3,7
Female,41,3,Research Director,Research & Development,12,1,Rarely,16280,3,23,22,15,15,8
Male,34,4,Sales Executive,Sales,23,0,Non-Travel,10034,4,10,9,5,8,7
Male,37,2,Research Scientist,Research & Development,19,0,Rarely,10227,4,8,1,0,0,0
Male,46,4,Sales Executive,Sales,5,0,Frequently,20445,4,14,9,6,0,8
Male,35,1,Laboratory Technician,Research & Development,8,0,Rarely,4892,3,1,1,0,0,1
Male,48,2,Laboratory Technician,Research & Development,1,1,Rarely,19294,3,23,1,0,0,0
Male,28,4,Laboratory Technician,Research & Development,5,1,Rarely,11179,3,2,2,2,2,2
Female,44,5,Sales Executive,Sales,1,0,Rarely,4009,4,9,4,3,1,3
Male,35,2,Healthcare Representative,Research & Development,11,0,Non-Travel,8302,3,10,4,0,2,3
Female,26,3,Sales Executive,Sales,23,0,Rarely,21436,3,5,2,2,0,0
Female,33,2,Research Director,Research & Development,1,0,Frequently,15146,3,15,15,14,8,12
Male,35,5,Sales Executive,Sales,18,0,Frequently,11031,4,9,9,8,1,8
Female,35,4,Laboratory Technician,Research & Development,23,0,Rarely,16002,3,4,2,2,2,2
Male,31,4,Laboratory Technician,Research & Development,7,0,Rarely,9528,4,10,7,7,1,7
Male,37,4,Manufacturing Director,Research & Development,1,0,Rarely,2689,3,7,7,5,0,7
Male,32,3,Manufacturing Director,Research & Development,1,0,Rarely,10877,4,9,9,8,7,8
Female,38,5,Laboratory Technician,Research & Development,29,0,Frequently,5456,3,10,10,3,9,9
Female,50,2,Research Director,Research & Development,7,0,Rarely,16701,3,29,27,3,13,8
Female,59,3,Sales Executive,Sales,25,0,Rarely,2354,3,28,21,16,7,9
Female,36,3,Healthcare Representative,Research & Development,8,0,Rarely,8202,3,17,17,14,12,8
Female,55,3,Manager,Research & Development,8,0,Rarely,19730,3,21,5,0,0,2
Male,36,3,Manufacturing Director,Research & Development,11,0,Frequently,22656,3,6,6,5,0,3
Male,45,3,Research Scientist,Research & Development,7,0,Rarely,18787,3,25,1,0,0,0
Male,35,3,Research Scientist,Research & Development,1,0,Frequently,5868,3,5,3,2,1,2
Male,36,3,Research Scientist,Research & Development,9,1,Rarely,21777,3,2,1,0,0,0
Female,59,1,Sales Executive,Sales,1,0,Frequently,24668,3,20,4,3,1,3
Male,29,3,Research Scientist,Research & Development,2,0,Rarely,4956,4,6,5,4,0,4
