NAME,APPROX_COST(FOR TWO PEOPLE) ($),RATE,DISH_LIKED,ONLINE_ORDER,BOOK_TABLE
Jalsa,800,4.1 out of 5,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup",1,1
Spice Elephant,800,4.1 out of 5,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani",1,0
San Churro Cafe,800,3.8 out of 5,"Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza",1,0
Addhuri Udupi Bhojana,300,3.7 out of 5,Masala Dosa,0,0
Grand Village,600,3.8 out of 5,"Panipuri, Gol Gappe",0,0
Timepass Dinner,600,3.8 out of 5,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",1,0
Onesta,600,4.6 out of 5,"Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza",1,1
Penthouse Cafe,700,4.0 out of 5,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches",1,0
Smacznego,550,4.2 out of 5,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos",1,0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,500,4.1 out of 5,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",1,0
Cafe Shuffle,600,4.2 out of 5,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos",1,1
The Coffee Shack,500,4.2 out of 5,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread",1,1
Caf-Eleven,450,4.0 out of 5,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino",0,0
San Churro Cafe,800,3.8 out of 5,"Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza",1,0
Cafe Vivacity,650,3.8 out of 5,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",1,0
Catch-up-ino,800,3.9 out of 5,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi",1,0
Kirthi's Biryani,700,3.8 out of 5,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails",1,0
T3H Cafe,300,3.9 out of 5,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata",0,0
The Vintage Cafe,400,3.0 out of 5,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea",1,0
Woodee Pizza,500,3.7 out of 5,"Pizza, Garlic Bread",1,0
My Tea House,600,3.6 out of 5,"Pasta, Iced Tea",1,0
Srinathji's Cafe,550,3.8 out of 5,"Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda",0,0
Redberrys,600,4.0 out of 5,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam",1,0
Foodiction,500,2.8 out of 5,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani",1,0
Ovenstory Pizza,750,3.9 out of 5,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",1,0
Faasos,500,4.2 out of 5,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap",1,0
Behrouz Biryani,650,3.9 out of 5,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",1,0
Szechuan Dragon,600,4.2 out of 5,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken",1,0
